actors,worlwide_gross_income
 Claude Brooks," 107,224,476.00 "
 Bill Zuckert," 107,217,396.00 "
 Dan Marino," 107,217,396.00 "
 Tatjana Patitz," 107,198,790.00 "
 Tara Subkoff," 107,181,517.00 "
 Hannah Noyes," 107,139,399.00 "
 Jack Blessing," 107,139,399.00 "
 Tempestt Bledsoe," 107,139,399.00 "
 Tucker Albrizzi," 107,139,399.00 "
 Scott Gibson," 107,111,001.00 "
 Alejandro Patiño," 107,072,727.00 "
 Andrea Cagliesi," 107,045,109.00 "
 Guy Williams," 107,045,109.00 "
 Julian Michael Deuster," 107,045,109.00 "
 Marianna Di Martino," 107,045,109.00 "
 Riccardo Calvanese," 107,045,109.00 "
 Cyndi Mayo," 106,956,330.00 "
 Derek Sakakura," 106,956,330.00 "
 Ferguson Reid," 106,956,330.00 "
 Frankie McLaren," 106,956,330.00 "
 George McLaren," 106,956,330.00 "
 Jessica Griffiths," 106,956,330.00 "
 Lisa Griffiths," 106,956,330.00 "
 Rebekah Staton," 106,956,330.00 "
 Thierry Neuvic," 106,956,330.00 "
Cécile de France," 106,956,330.00 "
 Michael Richards," 106,899,637.00 "
Olivia Cooke," 106,874,571.00 "
 Tatyana Ali," 106,857,239.00 "
 Albert Salmi," 106,814,990.00 "
 Pat Starr," 106,810,041.00 "
 Charlie Callas," 106,796,733.00 "
 Garette Ratliff Henson," 106,768,371.00 "
 Deborah Pollitt," 106,711,142.00 "
 Jeff Anderson," 106,709,809.00 "
 James Wilby," 106,698,663.00 "
 Heather M. Bomba," 106,683,817.00 "
 Lucile McIntyre," 106,683,817.00 "
 Marianne E. Bomba," 106,683,817.00 "
 Mary Lynn Riner," 106,683,817.00 "
 Stephanie Dawn Wood," 106,683,817.00 "
 George Lindsey," 106,675,412.00 "
 Rick Snyder," 106,666,546.00 "
 Art Metrano," 106,653,168.00 "
 Riley Thomas Stewart," 106,651,938.00 "
 James Durham," 106,589,137.00 "
 Anneliese van der Pol," 106,561,019.00 "
 Charlotte Ford," 106,550,690.00 "
 John Merensky," 106,550,690.00 "
 Katharine Balfour," 106,550,690.00 "
 Robert Modica," 106,550,690.00 "
 Russell Nype," 106,550,690.00 "
 Walker Daniels," 106,550,690.00 "
Ali MacGraw," 106,550,690.00 "
 Angela Kinsey," 106,533,270.00 "
 Geneviève Bujold," 106,519,594.00 "
 Philip Gordon," 106,439,593.00 "
 Emily Nelson," 106,407,672.00 "
 Selma Stern," 106,407,672.00 "
 Alexandra Holden," 106,395,668.00 "
 Bob Koherr," 106,387,141.00 "
 Carmen Ferland," 106,371,651.00 "
 Deano Clavet," 106,371,651.00 "
 Howard Bilerman," 106,371,651.00 "
 Jean-Guy Bouchard," 106,371,651.00 "
 Johnny Goar," 106,371,651.00 "
 Serge Christiaenssens," 106,371,651.00 "
 Jareb Dauplaise," 106,356,466.00 "
 Jacob Davich," 106,312,561.00 "
 Anthony Natale," 106,269,971.00 "
 Beth Maitland," 106,269,971.00 "
 Joseph Anderson," 106,269,971.00 "
 Nicholas John Renner," 106,269,971.00 "
 Bill Moor," 106,260,000.00 "
 Carol Nadell," 106,260,000.00 "
 Ellen Parker," 106,260,000.00 "
 Howland Chamberlain," 106,260,000.00 "
 Jack Ramage," 106,260,000.00 "
 Nicholas Hormann," 106,260,000.00 "
 Shelby Brammer," 106,260,000.00 "
 Dhimant Vyas," 106,209,378.00 "
 Henry Burton," 106,209,378.00 "
 Jack Paulson," 106,209,378.00 "
 John Sparkes," 106,209,378.00 "
 Kate Harbour," 106,209,378.00 "
 Nia Medi James," 106,209,378.00 "
 Sean Connolly," 106,209,378.00 "
 Sophie Laughton," 106,209,378.00 "
 Tim Hands," 106,209,378.00 "
Justin Fletcher," 106,209,378.00 "
 Sam Heughan," 106,194,850.00 "
 Rik Mayall," 106,190,514.00 "
 Lance Guest," 106,148,121.00 "
 Carly Rae Jepsen," 106,127,278.00 "
 Elana Dunkelman," 106,127,278.00 "
 Jamie Watson," 106,127,278.00 "
 Ricardo El Mandril Sanchez," 106,127,278.00 "
 Shoshana Sperling," 106,127,278.00 "
 Tamir Kapelian," 106,127,278.00 "
 Terrence Scammell," 106,127,278.00 "
 Michaël Vander-Meiren," 106,104,726.00 "
 Arlen Dean Snyder," 106,097,514.00 "
 Rick Shapiro," 106,045,448.00 "
 Jaycee Chan," 106,012,309.00 "
 Emily Rios," 105,951,569.00 "
 Daniel Valdez," 105,933,783.00 "
Sam Rockwell," 105,926,519.00 "
 George Antoni," 105,887,609.00 "
 Michelle Ang," 105,864,014.00 "
 Cheryl Hamada," 105,834,556.00 "
 Jill Anderson," 105,834,556.00 "
 Mark Venhuizen," 105,834,556.00 "
 Kalani Robb," 105,833,257.00 "
 Steve Landesberg," 105,833,257.00 "
 Taylor Wily," 105,833,257.00 "
 Stephen Bruton," 105,819,961.00 "
 Sara Houghton," 105,791,913.00 "
 Tim Thomerson," 105,752,034.00 "
 Alexis Clagett," 105,734,416.00 "
 Brooke Clagett," 105,734,416.00 "
 Brooke Liddell," 105,734,416.00 "
 Brynn Clagett," 105,734,416.00 "
 Kiley Liddell," 105,734,416.00 "
Donald Pleasence," 105,710,137.00 "
 Brian McNamara," 105,704,243.00 "
 Olivia Hamilton," 105,697,415.00 "
 Adam Barnett," 105,664,794.00 "
 Mo Zhang," 105,649,937.00 "
 Alan Marriott," 105,647,102.00 "
 Freddie Benedict," 105,647,102.00 "
 Lewis Macleod," 105,647,102.00 "
 Mathew Horne," 105,647,102.00 "
 Rebecca Front," 105,647,102.00 "
 Alice Ghostley," 105,614,154.00 "
 James Read," 105,609,100.00 "
 Andrew Robinson," 105,578,479.00 "
 Pedro Miguel Arce," 105,462,201.00 "
 Henry Ian Cusick," 105,355,059.00 "
 Anna Rust," 105,316,267.00 "
 Barbora Lukesová," 105,316,267.00 "
 Harry Gilliam," 105,316,267.00 "
 Jeremy Robson," 105,316,267.00 "
 Josef Pepa Nos," 105,316,267.00 "
 Marika Sarah Procházková," 105,316,267.00 "
 Martin Hofmann," 105,316,267.00 "
 Radim Kalvoda," 105,316,267.00 "
Petr Ratimec," 105,316,267.00 "
 Sergi López," 105,311,067.00 "
 Gary Hershberger," 105,281,827.00 "
 Peter Jurasik," 105,270,891.00 "
 Eddie Campbell," 105,262,958.00 "
 Hanyee," 105,232,691.00 "
 Jun Asai," 105,232,691.00 "
Jo Marr," 105,232,691.00 "
 Gillian Ferrabee," 105,215,390.00 "
 David Brown," 105,205,821.00 "
 Ambyr Childers," 105,200,903.00 "
 Mac Brandt," 105,200,903.00 "
 Mick Betancourt," 105,200,903.00 "
 Neil Koppel," 105,200,903.00 "
 Christopher Shyer," 105,178,561.00 "
 Cheryl Campbell," 105,161,922.00 "
 Alex Daniels," 105,139,999.00 "
 Michael Sassone," 105,121,574.00 "
 Pauline Collins," 105,074,917.00 "
 Stacy Grant," 105,073,441.00 "
 George C. Scott," 105,058,569.00 "
 Justine Johnston," 105,045,545.00 "
 Marion Lorne," 105,015,008.00 "
 Walter Brooke," 105,015,008.00 "
Anne Bancroft," 105,015,008.00 "
 Britt Lower," 105,011,053.00 "
 Greta Lee," 105,011,053.00 "
 Howard Morris," 104,986,898.00 "
 Karen Glave," 104,982,788.00 "
 Bobby Coleman," 104,962,818.00 "
 Deon Richmond," 104,952,365.00 "
 Kyle Catlett," 104,932,783.00 "
James Caan," 104,924,834.00 "
 Dick Van Patten," 104,922,276.00 "
 Karen Maruyama," 104,907,746.00 "
 Kya Haywood," 104,907,746.00 "
 Hark-On Fung," 104,882,445.00 "
 Kang Xi Jia," 104,882,445.00 "
 Shengyi Huang," 104,882,445.00 "
 Siu-Lung Leung," 104,882,445.00 "
 Suet Lam," 104,882,445.00 "
 Wah Yuen," 104,882,445.00 "
 Zhihua Dong," 104,882,445.00 "
 Camille Guaty," 104,806,693.00 "
 Stacey Dash," 104,753,517.00 "
 Barbara Sukowa," 104,752,752.00 "
 George Murdock," 104,752,588.00 "
 Amir Ali Said," 104,745,785.00 "
 Fan Liao," 104,731,450.00 "
 Jun Hu," 104,731,450.00 "
 Lei Chen," 104,731,450.00 "
 Pu Miao," 104,731,450.00 "
 Yi-Heng Du," 104,731,450.00 "
 You Ge," 104,731,450.00 "
 D.W. Brown," 104,671,200.00 "
 Robert Alan Beuth," 104,666,335.00 "
 Sara Tanaka," 104,622,138.00 "
 Gabriel Rush," 104,545,505.00 "
 Kathleen Pollard," 104,545,505.00 "
 Marie Ward," 104,545,505.00 "
 Michael Garza," 104,545,505.00 "
 Natalie Ganzhorn," 104,545,505.00 "
 Victoria Fodor," 104,545,505.00 "
Zoe Margaret Colletti," 104,545,505.00 "
 Iko Uwais," 104,510,488.00 "
 Joanna Pacula," 104,482,818.00 "
 Dominique Jackson," 104,478,416.00 "
 Mark Longhurst," 104,478,416.00 "
 Su Elliot," 104,478,416.00 "
Bill Bailey," 104,478,416.00 "
 Lisa Nicole Carson," 104,458,478.00 "
 Jodi Carlisle," 104,457,984.00 "
 John Shartzer," 104,438,188.00 "
 Annika Hallin," 104,414,200.00 "
 Ingvar Hirdwall," 104,414,200.00 "
 Lena Endre," 104,414,200.00 "
 Marika Lagercrantz," 104,414,200.00 "
 Michalis Koutsogiannakis," 104,414,200.00 "
 Peter Haber," 104,414,200.00 "
 Sofia Ledarp," 104,414,200.00 "
 Sven-Bertil Taube," 104,414,200.00 "
 Tomas Köhler," 104,414,200.00 "
Michael Nyqvist," 104,414,200.00 "
 David Gianopoulos," 104,409,885.00 "
 Christian Potenza," 104,391,623.00 "
 Mia Cottet," 104,391,623.00 "
 Scott Wickware," 104,391,623.00 "
 Jack Wallace," 104,377,072.00 "
 Charlie O'Connell," 104,348,111.00 "
 George Perez," 104,210,324.00 "
 Richard Jutras," 104,205,216.00 "
 Colton James," 104,155,843.00 "
 Ellen Greene," 104,054,246.00 "
 Vickie Eng," 104,048,838.00 "
 Brooke Bundy," 104,036,165.00 "
 Tonio Descanvelle," 104,032,612.00 "
 Fred Stoller," 104,003,322.00 "
 Gabriel Pimentel," 104,003,322.00 "
 Linden Porco," 104,003,322.00 "
 Terry Loughlin," 103,996,915.00 "
 Erin Daniels," 103,995,039.00 "
 Alex Etel," 103,967,384.00 "
 Carl Dixon," 103,967,384.00 "
 Elliot Lawless," 103,967,384.00 "
 Megan Katherine," 103,967,384.00 "
 Nathan Christopher Haase," 103,967,384.00 "
 Peter Corrigan," 103,967,384.00 "
 Rex Hurst," 103,967,384.00 "
 Alexandra Bokyun Chun," 103,911,669.00 "
 Avner Garbi," 103,911,669.00 "
 Paul Gutrecht," 103,911,669.00 "
Leigh Whannell," 103,911,669.00 "
 David Anthony Higgins," 103,891,409.00 "
 Joel Fabiani," 103,891,409.00 "
 Michaella Bassey," 103,891,409.00 "
 Paul Joseph Bernardo," 103,891,409.00 "
Mark Ruffalo," 103,876,145.00 "
 Marc Donato," 103,868,429.00 "
 Marcia Bennett," 103,858,753.00 "
 Terry Farrell," 103,792,961.00 "
 Bo Burnham," 103,758,868.00 "
 Danny Mora," 103,720,379.00 "
 Afra Sophia Tully," 103,687,316.00 "
 Ana Coto," 103,687,316.00 "
 Claire Beale," 103,687,316.00 "
 Claudia Katz Minnick," 103,687,316.00 "
 Daren Kagasoff," 103,687,316.00 "
 Sierra Heuermann," 103,687,316.00 "
 Sunny May Allison," 103,687,316.00 "
 Gary Collins," 103,659,081.00 "
 Heather Goldenhersh," 103,567,171.00 "
 Howard K. Smith," 103,534,838.00 "
 Jeffrey Nordling," 103,508,736.00 "
 Dulé Hill," 103,410,513.00 "
Geena Davis," 103,390,386.00 "
Virginia Madsen," 103,372,479.00 "
 Tim Ransom," 103,370,969.00 "
 Dylan Hartigan," 103,370,127.00 "
 Faith Hill," 103,370,127.00 "
 Fallon Brooking," 103,370,127.00 "
 Marian Mercer," 103,300,143.00 "
 Peggy Pope," 103,300,143.00 "
 Roxanna Bonilla-Giannini," 103,300,143.00 "
 Casey Kasem," 103,291,131.00 "
 Marlene Mitsuko Yamane," 103,291,131.00 "
 Amelia Warner," 103,277,302.00 "
 Akira Ito," 103,215,094.00 "
 Jamahl Garrison-Lowe," 103,215,094.00 "
 Keenan Shimizu," 103,215,094.00 "
 Kenny Chin," 103,215,094.00 "
 Tamara Mello," 103,166,989.00 "
 Robert Lesser," 103,155,382.00 "
 Fan Xu," 103,123,662.00 "
 Al Madrigal," 103,105,878.00 "
 Jeff Rose," 103,105,878.00 "
 Yvonne Orji," 103,105,878.00 "
Matt Lanter," 103,099,668.00 "
 Lori Loughlin," 103,086,831.00 "
 Suraj Sharma," 103,083,607.00 "
 Arthur Treacher," 103,082,283.00 "
 David Tomlinson," 103,082,283.00 "
 Ed Wynn," 103,082,283.00 "
 Elsa Lanchester," 103,082,283.00 "
 Jane Darwell," 103,082,283.00 "
 Karen Dotrice," 103,082,283.00 "
 Matthew Garber," 103,082,283.00 "
 Reginald Owen," 103,082,283.00 "
 Reta Shaw," 103,082,283.00 "
 Kent Jude Bernard," 103,078,941.00 "
 Steven Liu," 103,039,258.00 "
 Kristin Lehman," 103,031,969.00 "
Spencer Tracy," 102,999,525.00 "
 Damion Poitier," 102,999,152.00 "
 Bob Goen," 102,992,536.00 "
 Candi Milo," 102,992,536.00 "
 Mark DeCarlo," 102,992,536.00 "
 Mary Hart," 102,992,536.00 "
Megan Cavanagh," 102,992,536.00 "
 Anna Bolt," 102,984,862.00 "
 Joseph May," 102,984,862.00 "
 Martin Crewes," 102,984,862.00 "
 Oscar Pearce," 102,984,862.00 "
 Robert Tannion," 102,984,862.00 "
Ryan McCluskey," 102,984,862.00 "
 David Lyons," 102,977,237.00 "
 Jorge Garcia," 102,957,526.00 "
 Edward Ruttle," 102,952,888.00 "
 Hannah Emily Anderson," 102,952,888.00 "
 Josiah Black," 102,952,888.00 "
 Mandela Van Peebles," 102,952,888.00 "
 Michael Boisvert," 102,952,888.00 "
 Sam Koules," 102,952,888.00 "
 Shaquan Lewis," 102,952,888.00 "
 Troy Feldman," 102,952,888.00 "
Matt Passmore," 102,952,888.00 "
 Arthur Rosenberg," 102,944,188.00 "
 Gladys Knight," 102,876,580.00 "
 Paolo Bonacelli," 102,876,281.00 "
 Patrick Magee," 102,862,924.00 "
 Ice-T," 102,859,264.00 "
 Gabrielle Made," 102,854,431.00 "
 Shulie Cowen," 102,854,431.00 "
 William Caploe," 102,854,431.00 "
 Keith Gibbs," 102,825,796.00 "
 Nikki Deloach," 102,820,008.00 "
 Scot Greenan," 102,815,113.00 "
 Anderson Cooper," 102,811,889.00 "
 Bill Marchant," 102,811,889.00 "
 Johnny Selema," 102,811,889.00 "
 Kevin Otto," 102,811,889.00 "
 Maurice Carpede," 102,811,889.00 "
 Ninja," 102,811,889.00 "
 Yo-Landi Visser," 102,811,889.00 "
 Brady Hender," 102,731,865.00 "
 Caitlin Dulany," 102,731,865.00 "
 Jonathan Daniel Brown," 102,731,865.00 "
 Nick Nervies," 102,731,865.00 "
 Pete Gardner," 102,731,865.00 "
 Rob Evors," 102,731,865.00 "
 David Shreibman," 102,715,123.00 "
 Joe Spano," 102,616,183.00 "
 Jayne Meadows," 102,522,181.00 "
 Persis Khambatta," 102,510,058.00 "
 Woody Allen," 102,509,635.00 "
Joey King," 102,500,878.00 "
 Kevin Cooney," 102,470,246.00 "
 Steven Weber," 102,412,463.00 "
 Derek Graf," 102,392,080.00 "
 Johnny Lee Davenport," 102,367,405.00 "
 Marc Vann," 102,367,405.00 "
 Amanda Walsh," 102,366,815.00 "
 Catherine Haena Kim," 102,366,815.00 "
 Renée Taylor," 102,362,977.00 "
 Christian Argueta," 102,338,515.00 "
 Colin Hay," 102,338,515.00 "
 Don Cherry," 102,338,515.00 "
 Jack De Sena," 102,338,515.00 "
 Miles Marsico," 102,338,515.00 "
Ed Harris," 102,314,890.00 "
 Jody Gilbert," 102,310,639.00 "
 Ted Cassidy," 102,310,639.00 "
Rebecca Hall," 102,300,401.00 "
 Clare Kramer," 102,282,751.00 "
 Inna Korobkina," 102,278,712.00 "
 Kim Poirier," 102,278,712.00 "
 Michael Barry," 102,278,712.00 "
 Valerie Leon," 102,271,514.00 "
 Barry G. King," 102,244,770.00 "
 Daniel E. Smith," 102,244,770.00 "
 James Finnerty," 102,244,770.00 "
 Larissa Laskin," 102,244,770.00 "
 Ron Annabelle," 102,244,770.00 "
Gabriela Oltean," 102,244,770.00 "
 Mikey," 102,234,743.00 "
 Tom Villard," 102,213,816.00 "
 Asano Nagahide," 102,205,175.00 "
 Hiroyuki Ikeuchi," 102,205,175.00 "
 Kai Wang," 102,205,175.00 "
 Kôji Yano," 102,205,175.00 "
 Ping Sang," 102,205,175.00 "
 Talu Wang," 102,205,175.00 "
 Wei Na," 102,205,175.00 "
 Wing Lun Ng," 102,205,175.00 "
 Yishang Zhang," 102,205,175.00 "
 Yunwei He," 102,205,175.00 "
 Zitao Huang," 102,205,175.00 "
 Zoe Zhang," 102,205,175.00 "
 David Steinberg," 102,187,014.00 "
 Kim Greist," 102,181,807.00 "
 Jay Tavare," 102,150,033.00 "
 Trent Ford," 102,144,373.00 "
 Rodney Eastman," 102,134,349.00 "
 Jake McDorman," 102,087,061.00 "
David Arquette," 101,998,839.00 "
 Connor Widdows," 101,957,837.00 "
 Barry Newman," 101,951,511.00 "
 Naturi Naughton," 101,931,715.00 "
 Connor Corum," 101,888,019.00 "
 Danso Gordon," 101,888,019.00 "
 Darcy Fehr," 101,888,019.00 "
 Lane Styles," 101,888,019.00 "
 Pete Hudson," 101,888,019.00 "
 Thanya Romero," 101,888,019.00 "
 Ursula Clark," 101,888,019.00 "
 Vivian Winther," 101,888,019.00 "
 Peter Mark Richman," 101,838,098.00 "
 Alexander Armstrong," 101,809,754.00 "
 John Prosky," 101,767,855.00 "
 Claudiu Istodor," 101,758,490.00 "
 Claudiu Trandafir," 101,758,490.00 "
 Ilinca Harnut," 101,758,490.00 "
 Ionut Grama," 101,758,490.00 "
 Jeff Victoroff," 101,758,490.00 "
 Maria Junghetu," 101,758,490.00 "
 Pamela Davis," 101,758,490.00 "
 Simon Quarterman," 101,758,490.00 "
 Suzan Crowley," 101,758,490.00 "
 Toma Danila," 101,758,490.00 "
Fernanda Andrade," 101,758,490.00 "
 Brent Woolsey," 101,646,581.00 "
 Richard Faraci," 101,646,581.00 "
 Shane Kelly," 101,646,581.00 "
 Steven Lambert," 101,646,581.00 "
 André Morell," 101,627,638.00 "
 Arthur Napiontek," 101,624,843.00 "
 Tony Denman," 101,581,085.00 "
 Max Gail," 101,572,400.00 "
 Alex Thomas," 101,564,935.00 "
 David Agranov," 101,564,935.00 "
 Massimo Schina," 101,564,935.00 "
 Valeria Andrews," 101,564,935.00 "
 Shecky Greene," 101,494,241.00 "
 Tovah Feldshuh," 101,481,424.00 "
 Don Pugsley," 101,468,999.00 "
 Tom Hodges," 101,459,561.00 "
 Tresa Hughes," 101,446,436.00 "
 Marla Gibbs," 101,409,688.00 "
 Molly Gottlieb," 101,393,569.00 "
 Jessica Parker Kennedy," 101,371,026.00 "
 Tom Jones," 101,371,017.00 "
 Sheri Moon Zombie," 101,362,807.00 "
 Bart Bedford," 101,344,412.00 "
 Carly Street," 101,344,412.00 "
 Craig Snoyer," 101,344,412.00 "
 Esther Jun," 101,344,412.00 "
 Jane McLean," 101,344,412.00 "
 Katherine Trowell," 101,344,412.00 "
 Romyen Tangsubutra," 101,344,412.00 "
Michelle Nolden," 101,344,412.00 "
 Aishwarya Rai Bachchan," 101,328,172.00 "
 Abdou Sagna," 101,276,318.00 "
 Ilya Nikitenko," 101,276,318.00 "
 Jean-Marc Bellu," 101,276,318.00 "
 Michael Offei," 101,276,318.00 "
 Christie Cronenweth," 101,218,804.00 "
 Eugenie Bondurant," 101,218,804.00 "
 George Maguire," 101,218,804.00 "
 Sydney 'Big Dawg' Colston," 101,218,804.00 "
 Jeanie Calleja," 101,191,884.00 "
 Mark Ellis," 101,191,884.00 "
 Veronica Hurnick," 101,191,884.00 "
 Art Chudabala," 101,187,341.00 "
 Laura Wright," 101,134,059.00 "
 Maurice Benard," 101,134,059.00 "
 Susan Lucci," 101,134,059.00 "
 Kevin Yamada," 101,130,515.00 "
 Chuck Loring," 101,058,954.00 "
 Gordon Thomson," 101,058,954.00 "
 Justin Shilton," 101,058,954.00 "
 Marc Turtletaub," 101,058,954.00 "
 Susan Willis," 101,025,387.00 "
 Dean Wray," 101,013,745.00 "
 Dan Martin," 101,002,264.00 "
 Ming-Na Wen," 100,997,305.00 "
 Rebel Rodriguez," 100,965,163.00 "
 Angel David," 100,919,478.00 "
Michael Cera," 100,872,283.00 "
 Armand Darrius," 100,860,818.00 "
 Laura Marano," 100,830,334.00 "
 Viktor Verzhbitskiy," 100,830,268.00 "
 John Snyder," 100,737,686.00 "
 Betsy Rue," 100,734,718.00 "
 Joy de la Paz," 100,734,718.00 "
 Karen Baum," 100,734,718.00 "
 Liam Rhodes," 100,734,718.00 "
 Megan Boone," 100,734,718.00 "
Jensen Ackles," 100,734,718.00 "
 Adam Sandler," 100,732,301.00 "
 Shaun Weiss," 100,696,662.00 "
 Stephan James," 100,675,078.00 "
 Kerris Dorsey," 100,654,149.00 "
 Mekai Curtis," 100,654,149.00 "
 Sidney Fullmer," 100,654,149.00 "
Radha Mitchell," 100,613,876.00 "
 Gregg Lucas," 100,610,197.00 "
 Ellen Sandweiss," 100,609,109.00 "
 Amanda Hiebert," 100,605,135.00 "
 Colleen Williams," 100,605,135.00 "
 Derek Ritschel," 100,605,135.00 "
 Maxine Dumont," 100,605,135.00 "
 Ron Gabriel," 100,605,135.00 "
 Tanya Allen," 100,605,135.00 "
 Kyle T. Heffner," 100,604,823.00 "
 Brooke Hamlin," 100,572,044.00 "
 Kevin Daniels," 100,572,044.00 "
 Robert Lewis," 100,572,044.00 "
 Spencer Berglund," 100,572,044.00 "
 Steve Maye," 100,572,044.00 "
 Sarah Snook," 100,549,994.00 "
 Allen McLean," 100,541,806.00 "
 Camiel Warren-Taylor," 100,541,806.00 "
 David Muir," 100,541,806.00 "
 Elizabeth Vargas," 100,541,806.00 "
 Haruka Kuroda," 100,541,806.00 "
 Jesus Del Orden," 100,541,806.00 "
 Leila Grace," 100,541,806.00 "
 Mari Gvelesiani," 100,541,806.00 "
 Olga Dykhovichnaya," 100,541,806.00 "
 Dan Callahan," 100,531,072.00 "
 Agustín Bernal," 100,502,638.00 "
 Ángela Moreno," 100,502,638.00 "
 Arcelia Ramírez," 100,502,638.00 "
 Daniel Raymont," 100,502,638.00 "
 Gilda Gentile," 100,502,638.00 "
 Hugo Stiglitz," 100,502,638.00 "
 Leia Freitas," 100,502,638.00 "
 Migael Penix," 100,502,638.00 "
 Nancy Taira," 100,502,638.00 "
 Sammy Pérez," 100,502,638.00 "
Andrés Vázquez," 100,502,638.00 "
 Brian Backer," 100,497,237.00 "
 Barbara Hale," 100,489,151.00 "
 Dana Wynter," 100,489,151.00 "
 Helen Hayes," 100,489,151.00 "
 Jessie Royce Landis," 100,489,151.00 "
 John Findlater," 100,489,151.00 "
 Van Heflin," 100,489,151.00 "
 Hayley Lovitt," 100,406,089.00 "
 Lawrence Taylor," 100,404,431.00 "
 Dakota Lee," 100,375,432.00 "
 Rich Williams," 100,375,432.00 "
 Martina Gedeck," 100,266,865.00 "
 Tommy Hollis," 100,260,097.00 "
 Sammy Davis Jr.," 100,257,652.00 "
 Willie Nelson," 100,245,507.00 "
 David House," 100,188,184.00 "
 Amelia Campbell," 100,187,336.00 "
 Joshua Jay," 100,140,096.00 "
 Madeleine Greaves," 100,140,096.00 "
 Max Pfeifer," 100,140,096.00 "
 Nick Farnell," 100,140,096.00 "
 Pepita Emmerichs," 100,140,096.00 "
 Sonny Gerasimowicz," 100,140,096.00 "
 Vincent Crowley," 100,140,096.00 "
Max Records," 100,140,096.00 "
 Amy McAllister," 100,129,872.00 "
 Cathy Belton," 100,129,872.00 "
 Sean Mahon," 100,129,872.00 "
 Sophie Kennedy Clark," 100,129,872.00 "
 Wunmi Mosaku," 100,129,872.00 "
 Austin Willis," 100,114,450.00 "
 Andrew Nason," 100,104,565.00 "
 Anthony Simcoe," 100,104,565.00 "
 Colin Gibson," 100,104,565.00 "
 Dorothy Thorsen," 100,104,565.00 "
 Maddison Joyce," 100,104,565.00 "
 Mark Brady," 100,104,565.00 "
 Rhonda Doyle," 100,104,565.00 "
 Russell Butler," 100,104,565.00 "
 Matt Salinger," 100,078,777.00 "
 Jessie Ennis," 100,044,415.00 "
 Landon Liboiron," 100,039,739.00 "
 Alex Campbell," 100,020,092.00 "
 Martin Angerbauer," 100,014,025.00 "
 Sam Hargrave," 100,014,025.00 "
 John Dunn-Hill," 100,012,769.00 "
 Sophia Ali," 99,974,965.00 "
 Michael Greene," 99,946,215.00 "
 Ben Hernandez Bray," 99,876,604.00 "
 Charles Malik Whitfield," 99,847,818.00 "
 Emil-Bastien Bouffard," 99,783,556.00 "
 Genesis Ochoa," 99,783,556.00 "
 Plácido Domingo," 99,783,556.00 "
 Ilana Glazer," 99,743,279.00 "
 Natasha Ryan," 99,709,558.00 "
 Lars Ulrich," 99,696,067.00 "
 Darrell Zwerling," 99,693,234.00 "
 Andre Gregory," 99,664,290.00 "
 Johnny Ortiz," 99,628,782.00 "
 Ileen Getz," 99,628,216.00 "
 Ruben Pla," 99,616,456.00 "
 Grégoire Aslan," 99,611,125.00 "
 Tom Amandes," 99,571,774.00 "
 Heather Tocquigny," 99,557,032.00 "
 John Henry Binder," 99,557,032.00 "
 Philip Friedman," 99,557,032.00 "
 Antonie Kamerling," 99,510,345.00 "
 Wass Stevens," 99,417,810.00 "
 Kevin Trainor," 99,378,985.00 "
 Ladislav Beran," 99,378,985.00 "
Joshua Jackson," 99,357,426.00 "
 Cam Banfield," 99,357,138.00 "
 Courtney James Clark," 99,357,138.00 "
 Kendal Tuttle," 99,357,138.00 "
 Robert Hayes," 99,357,138.00 "
 Taylor Schilling," 99,357,138.00 "
 Brandon Merrill," 99,274,467.00 "
 Cui Ya Hui," 99,274,467.00 "
 Eric Chen," 99,274,467.00 "
 Jason Connery," 99,274,467.00 "
 Kate Luyben," 99,274,467.00 "
 Rafael Báez," 99,274,467.00 "
 Carlos Maycotte," 99,255,460.00 "
 Cesar Gonzalez," 99,255,460.00 "
 Darius Rose," 99,255,460.00 "
 Diego Eduardo Gomez," 99,255,460.00 "
 Enrique Muñoz," 99,255,460.00 "
 Felipe Jesus 'Terror Chino' Hernandez," 99,255,460.00 "
 Julio Sandoval," 99,255,460.00 "
 Rafael Montalvo," 99,255,460.00 "
 Richard Montoya," 99,255,460.00 "
 Ventura 'Tigre Hispano' Lahoz," 99,255,460.00 "
 Richard Conti," 99,221,157.00 "
 Maggie McCarthy," 99,188,341.00 "
Bob Newhart," 99,147,330.00 "
 Marques Houston," 99,128,127.00 "
 Joy Carlin," 99,121,589.00 "
 Andrew Long," 99,104,804.00 "
 Annie McNamara," 99,104,804.00 "
 Daniel Jenks," 99,104,804.00 "
 Glen Caspillo," 99,104,804.00 "
 Kathy Tong," 99,104,804.00 "
 Max Rutherford," 99,104,804.00 "
 John Davidson," 99,039,693.00 "
 Natalie Dormer," 99,025,212.00 "
 Pauline Burlet," 98,948,255.00 "
 Paul Winchell," 98,916,531.00 "
James Spader," 98,806,998.00 "
 Michael Bower," 98,786,894.00 "
 Enrique Iglesias," 98,769,390.00 "
 Gerardo Vigil," 98,769,390.00 "
 Elena Wohl," 98,690,254.00 "
 Sharon McFarlane," 98,690,254.00 "
 Alfred De Contreras," 98,625,775.00 "
 Johnny Sanchez," 98,625,775.00 "
 Ramiro Fabian," 98,625,775.00 "
 Gregg Daniel," 98,614,937.00 "
 Sandahl Bergman," 98,565,461.00 "
